index,start,end,mid,roll_force,roll_torque,out_temperature,in_temperature
R1,2022-10-06 13:16:51.930,2022-10-06 13:16:52.280,2022-10-06 13:16:52.105,153.47594000000004,11.40363,,
R2,2022-10-06 13:17:03.820,2022-10-06 13:17:04.290,2022-10-06 13:17:04.055,128.33474,11.721350000000001,1189.916,
R3,2022-10-06 13:17:09.350,2022-10-06 13:17:09.700,2022-10-06 13:17:09.525,204.51358,12.55926,1148.662,
R4,2022-10-06 13:17:16.670,2022-10-06 13:17:17.100,2022-10-06 13:17:16.885,105.16733,9.654948000000001,1143.76,
R5,2022-10-06 13:17:23.970,2022-10-06 13:17:24.590,2022-10-06 13:17:24.280,159.42264,7.971354,1084.458,
R6,2022-10-06 13:17:31.760,2022-10-06 13:17:32.560,2022-10-06 13:17:32.160,71.02492,6.1263,1073.428,
R7,2022-10-06 13:17:37.510,2022-10-06 13:17:38.590,2022-10-06 13:17:38.050,186.33937999999998,7.5703119999999995,1035.714,
R8,2022-10-06 13:17:54.010,2022-10-06 13:17:55.430,2022-10-06 13:17:54.720,72.94524,6.109374,952.8074,
R9,2022-10-06 13:18:01.540,2022-10-06 13:18:03.260,2022-10-06 13:18:02.400,112.74839999999999,3.898438,,
R10,2022-10-06 13:18:17.550,2022-10-06 13:18:19.620,2022-10-06 13:18:18.585,62.833324999999995,4.358072,,
F1,2022-10-06 13:18:37.550,2022-10-06 13:18:37.920,2022-10-06 13:18:37.735,125.9832,1.509126,,
F2,2022-10-06 13:18:37.670,2022-10-06 13:18:38.030,2022-10-06 13:18:37.850,122.09859999999999,1.8480739999999998,,
F3,2022-10-06 13:18:37.760,2022-10-06 13:18:38.150,2022-10-06 13:18:37.955,134.00510000000003,1.8516650000000001,,
F4,2022-10-06 13:18:37.850,2022-10-06 13:18:38.220,2022-10-06 13:18:38.035,105.96000000000001,1.210156,860.3558,
